"Question","Pr..F.","F.value","n"
"Visual Design",1e-04,6.723,135
"Visual Design",NA,NA,135
"Meets Needs",0,7.672,135
"Meets Needs",NA,NA,135
"PT Updates",0.4863,0.866,130
"PT Updates",NA,NA,130
"PT Coverage",0.2673,1.317,130
"PT Coverage",NA,NA,130
"Arrival/Departure Time",0.4699,0.894,131
"Arrival/Departure Time",NA,NA,131
"Find Stops",0.0123,3.341,131
"Find Stops",NA,NA,131
"Share ETA",0.2453,1.379,126
"Share ETA",NA,NA,126
"Multiple Stops",0.8793,0.297,130
"Multiple Stops",NA,NA,130
"Schedule Match",0.7324,0.505,130
"Schedule Match",NA,NA,130
